id,story_event_id,item_category,item_id,item_num,point
1,1001,11,1,5,2000
2,1001,94,45,10,4000
3,1001,91,59,2000,6000
4,1001,30,110,1000,8000
5,1001,11,4,5,12000
6,1001,103,98,200,14000
7,1001,11,7,5,16000
8,1001,94,45,10,18000
9,1001,91,59,3000,22000
10,1001,30,110,1000,24000
11,1001,11,10,5,26000
12,1001,103,98,200,28000
13,1001,94,45,10,32000
14,1001,11,13,5,34000
15,1001,91,59,4000,36000
16,1001,30,110,1000,38000
17,1001,94,45,10,42000
18,1001,11,1,5,44000
19,1001,11,4,5,46000
20,1001,34,95,1,48000
21,1001,94,45,10,52000
22,1001,11,7,5,54000
23,1001,91,59,5000,56000
24,1001,30,110,1500,58000
25,1001,94,45,20,62000
26,1001,11,10,5,64000
27,1001,11,13,5,66000
28,1001,93,44,1,68000
29,1001,103,98,300,72000
30,1001,21,34,1,74000
31,1001,34,95,2,76000
32,1001,91,59,6000,78000
33,1001,94,45,20,80000
34,1001,150,116,1,85000
35,1001,34,95,1,90000
36,1001,40,111,1,95000
37,1001,93,44,1,100000
38,1001,30,110,2000,110000
39,1001,150,118,1,120000
40,1001,21,34,1,130000
41,1001,103,98,400,140000
42,1001,90,43,100,150000
43,1001,34,95,2,160000
44,1001,20,32,1,170000
45,1001,94,45,20,180000
46,1001,91,59,7000,190000
47,1001,30,110,2000,200000
48,1001,40,41,1,210000
49,1001,34,95,2,220000
50,1001,150,117,1,230000
51,1001,91,59,8000,240000
52,1001,103,98,500,250000
53,1001,30,110,4000,260000
54,1001,34,95,2,270000
55,1001,51,30025,1,290000
56,1001,94,45,20,310000
57,1001,90,43,100,330000
58,1001,91,59,10000,350000
59,1001,34,95,2,370000
60,1001,30,110,4000,390000
61,1001,94,45,20,410000
62,1001,103,98,500,430000
63,1001,20,32,1,450000
64,1001,94,45,30,480000
65,1001,90,43,100,510000
66,1001,91,59,12000,540000
67,1001,20,32,2,570000
68,1001,94,45,30,600000
69,1001,30,110,5000,640000
70,1001,20,32,2,680000
71,1001,21,34,2,720000
72,1001,97,115,10,760000
73,1001,94,45,30,800000
74,1001,40,111,1,850000
75,1001,150,118,1,900000
76,1001,94,45,50,950000
77,1001,93,44,1,1000000
78,1001,20,32,2,1050000
79,1001,90,43,100,1100000
80,1001,94,45,50,1150000
81,1001,40,41,1,1200000
82,1001,150,116,2,1250000
83,1001,94,45,50,1300000
84,1001,150,118,2,1350000
85,1001,97,115,10,1400000
86,1001,90,43,100,1450000
87,1002,103,98,300,2000
88,1002,91,59,1000,4000
89,1002,30,110,500,6000
90,1002,34,95,2,8000
91,1002,103,98,300,12000
92,1002,91,59,1000,14000
93,1002,30,110,500,16000
94,1002,34,95,2,18000
95,1002,103,98,300,22000
96,1002,91,59,1000,24000
97,1002,30,110,500,26000
98,1002,34,95,2,28000
99,1002,103,98,300,32000
100,1002,91,59,2000,34000
101,1002,30,110,1000,36000
102,1002,90,43,30,38000
103,1002,103,98,300,42000
104,1002,91,59,2000,44000
105,1002,30,110,1000,46000
106,1002,34,95,2,48000
107,1002,103,98,300,52000
108,1002,91,59,2000,54000
109,1002,30,110,1000,56000
110,1002,34,95,2,58000
111,1002,103,98,300,62000
112,1002,91,59,2000,64000
113,1002,30,110,1000,66000
114,1002,90,43,30,68000
115,1002,20,32,1,72000
116,1002,91,59,4000,74000
117,1002,30,110,2000,76000
118,1002,34,95,2,78000
119,1002,90,43,100,80000
120,1002,21,34,1,85000
121,1002,91,59,4000,90000
122,1002,30,110,2000,95000
123,1002,150,116,1,100000
124,1002,40,111,1,105000
125,1002,20,32,1,110000
126,1002,91,59,4000,115000
127,1002,30,110,2000,120000
128,1002,93,44,1,125000
129,1002,21,34,1,130000
130,1002,91,59,4000,135000
131,1002,30,110,2000,140000
132,1002,150,116,1,145000
133,1002,51,20026,1,150000
134,1002,20,32,1,155000
135,1002,91,59,6000,160000
136,1002,30,110,3000,165000
137,1002,97,115,5,170000
138,1002,90,43,100,175000
139,1002,21,34,1,180000
140,1002,91,59,6000,185000
141,1002,30,110,3000,190000
142,1002,150,116,1,195000
143,1002,40,41,1,200000
144,1002,20,32,1,210000
145,1002,91,59,6000,220000
146,1002,30,110,3000,230000
147,1002,93,44,1,240000
148,1002,97,115,5,250000
149,1002,21,34,1,260000
150,1002,11,78,2,270000
151,1002,91,59,6000,280000
152,1002,30,110,3000,290000
153,1002,51,30030,1,300000
154,1002,20,32,2,320000
155,1002,97,115,5,340000
156,1002,11,71,2,360000
157,1002,90,43,150,380000
158,1002,91,59,8000,400000
159,1002,30,110,4000,420000
160,1002,20,32,2,440000
161,1002,40,111,1,460000
162,1002,91,59,8000,480000
163,1002,30,110,4000,500000
164,1002,11,74,2,520000
165,1002,90,43,150,540000
166,1002,91,59,8000,560000
167,1002,30,110,4000,580000
168,1002,40,41,1,600000
169,1002,93,44,1,625000
170,1002,11,91,2,650000
171,1002,97,115,5,675000
172,1002,90,43,150,700000
173,1003,103,98,300,2000
174,1003,91,59,1000,4000
175,1003,30,110,500,6000
176,1003,34,95,1,8000
177,1003,103,98,300,12000
178,1003,91,59,1000,14000
179,1003,30,110,500,16000
180,1003,34,95,1,18000
181,1003,103,98,300,22000
182,1003,91,59,1000,24000
183,1003,30,110,500,26000
184,1003,34,95,1,28000
185,1003,103,98,300,32000
186,1003,91,59,2000,34000
187,1003,30,110,1000,36000
188,1003,34,95,1,38000
189,1003,103,98,300,42000
190,1003,91,59,2000,44000
191,1003,30,110,1000,46000
192,1003,34,95,2,48000
193,1003,103,98,300,52000
194,1003,91,59,2000,54000
195,1003,30,110,1000,56000
196,1003,34,95,2,58000
197,1003,103,98,300,62000
198,1003,91,59,2000,64000
199,1003,30,110,1000,66000
200,1003,34,95,2,68000
201,1003,20,32,1,72000
202,1003,91,59,4000,74000
203,1003,30,110,2000,76000
204,1003,34,95,2,78000
205,1003,150,116,1,80000
206,1003,21,34,1,85000
207,1003,91,59,4000,90000
208,1003,30,110,2000,95000
209,1003,90,43,50,100000
210,1003,40,111,1,105000
211,1003,20,32,1,110000
212,1003,91,59,4000,115000
213,1003,30,110,2000,120000
214,1003,93,44,1,125000
215,1003,21,34,1,130000
216,1003,91,59,4000,135000
217,1003,30,110,2000,140000
218,1003,150,116,1,145000
219,1003,11,82,2,150000
220,1003,20,32,1,155000
