id,bg_id,group_id,sub_group_id,is_mob,main_chara_num,pos_obj,position_file,grid_pos_x,grid_pos_y,priority,motion_name,timeline,timeline_actor,direction,chara_pos_y,chara_shadow,use_grid_pos_job_select,position_anim,fixed_render_order,se_cue_name01,se_cue_sheet01,se_start_frame01,se_cue_name02,se_cue_sheet02,se_start_frame02,effect_id,effect_start_sec
1000101,10001,0,0,0,1,None,,1,3,0,Circle01_101,,,3,0,1,0,,0,,,0,,,0,0,
1000102,10001,0,0,0,1,None,,13,0,0,Circle01_102,,,7,0,1,0,,0,snd_sfx_circle_sd_watering,snd_sfx_circle_sd_watering,26,snd_sfx_circle_sd_watering,snd_sfx_circle_sd_watering,259,0,
1000103,10001,0,0,0,1,None,,12,3,0,Circle01_103,,,1,0,1,0,,0,,,0,,,0,0,
1000104,10001,0,0,0,1,None,,10,1,0,Circle01_104_03,,,1,0,1,0,,0,,,0,,,0,0,
1000105,10001,0,0,0,1,None,,3,1,0,Circle01_105,,,2,0,1,0,,0,,,0,,,0,0,
1000106,10001,1,0,0,2,None,,8,4,1,Circle01_201_01,,,8,0,1,0,,0,,,0,,,0,0,
1000107,10001,1,0,0,2,None,,9,4,1,Circle01_201_02,,,2,0,1,0,,0,,,0,,,0,0,
1000108,10001,2,0,0,3,None,,5,2,2,Circle01_301,,,1,0,0,0,,0,,,0,,,0,0,
1000109,10001,2,0,0,3,None,,5,2,2,Circle01_302,,,1,0,0,0,,0,,,0,,,0,0,
1000110,10001,2,0,0,3,None,,5,2,2,Circle01_303,,,1,0,0,0,,0,,,0,,,0,0,
1000201,10002,0,0,0,1,None,,12,1,0,Circle02_101,,,2,0,1,0,,0,,,0,,,0,0,
1000202,10002,0,0,0,1,chr01,Circle/Position/pfb_min_cir_type00_02_102_pos,14,0,1,Circle02_102,,,3,0,1,1,motion01,0,,,0,,,0,0,
1000203,10002,1,0,0,2,chr01,Circle/Position/pfb_min_cir_type00_02_201_pos,0,4,1,Circle02_201,,,7,0,1,1,motion01,0,snd_sfx_circle_sd_traction,snd_sfx_circle_sd_traction,4,,,0,0,
1000204,10002,1,0,0,2,chr01,Circle/Position/pfb_min_cir_type00_02_202_pos,0,4,1,Circle02_202,,,7,0,1,1,motion01,0,,,0,,,0,0,
1000205,10002,2,0,0,3,None,,7,1,2,Circle02_301,,,3,0,1,0,,0,snd_sfx_circle_sd_jumprope,snd_sfx_circle_sd_jumprope,0,,,0,0,
1000206,10002,2,0,0,3,None,,7,1,2,Circle02_302,,,3,0,1,0,,0,,,0,,,0,0,
1000207,10002,2,0,0,3,None,,7,1,2,Circle02_303,,,3,0,1,0,,0,,,0,,,0,0,
1000208,10002,3,0,0,3,None,,12,3,1,Circle02_304,,,1,0,1,0,,0,,,0,,,0,0,
1000209,10002,3,0,0,3,None,,12,3,1,Circle02_305,,,1,0,1,0,,0,,,0,,,0,0,
1000210,10002,3,0,0,3,None,,12,3,1,Circle02_306,,,1,0,1,0,,0,,,0,,,0,0,
1000211,10002,4,0,0,4,None,,1,3,2,Circle02_401,,,3,0,1,0,,1,,,0,,,0,0,
1000212,10002,4,0,0,4,None,,1,3,2,Circle02_402,,,3,0,1,0,,3,,,0,,,0,0,
