id,command_id,sub_id,result_state,target_type,effect_value,scenario_id
1,101,1,2,1,11,1
2,101,1,2,3,6,1
3,101,1,2,30,4,1
4,101,1,2,10,-21,1
5,105,1,2,2,10,1
6,105,1,2,4,6,1
7,105,1,2,30,4,1
8,105,1,2,10,-19,1
9,102,1,2,2,6,1
10,102,1,2,3,9,1
11,102,1,2,30,4,1
12,102,1,2,10,-20,1
13,103,1,2,1,5,1
14,103,1,2,3,5,1
15,103,1,2,4,8,1
16,103,1,2,30,4,1
17,103,1,2,10,-22,1
18,106,1,1,10,5,1
19,106,1,2,1,2,1
20,106,1,2,5,10,1
21,106,1,2,30,5,1
22,106,1,2,10,5,1
23,301,1,2,10,10,1
24,301,1,2,20,1,1
25,302,1,2,20,2,1
26,303,1,2,10,30,1
27,303,1,2,20,1,1
28,303,2,2,10,20,1
29,303,2,2,20,1,1
30,303,3,2,10,10,1
31,303,3,2,20,1,1
32,601,1,2,1,15,1
33,601,1,2,3,8,1
34,601,1,2,30,4,1
35,601,1,2,10,-27,1
36,602,1,2,2,14,1
37,602,1,2,4,8,1
38,602,1,2,30,4,1
39,602,1,2,10,-25,1
40,603,1,2,2,8,1
41,603,1,2,3,13,1
42,603,1,2,30,4,1
43,603,1,2,10,-26,1
44,604,1,2,1,6,1
45,604,1,2,3,5,1
46,604,1,2,4,13,1
47,604,1,2,30,4,1
48,604,1,2,10,-28,1
49,605,1,2,10,5,1
50,605,1,2,1,4,1
51,605,1,2,5,14,1
52,605,1,2,30,5,1
54,605,1,1,10,5,1
55,304,1,2,10,40,1
56,304,1,2,20,1,1
57,101,1,2,1,8,2
58,101,1,2,3,4,2
59,101,1,2,30,4,2
60,101,1,2,10,-19,2
61,105,1,2,2,8,2
62,105,1,2,4,6,2
63,105,1,2,30,4,2
64,105,1,2,10,-20,2
65,102,1,2,2,4,2
66,102,1,2,3,9,2
67,102,1,2,30,4,2
68,102,1,2,10,-20,2
69,103,1,2,1,3,2
70,103,1,2,3,3,2
71,103,1,2,4,6,2
72,103,1,2,30,4,2
73,103,1,2,10,-20,2
74,106,1,1,10,5,2
75,106,1,2,1,2,2
